,Unnamed: 0,timestamp,mx,my,mz,mAc
348,178.0,22800.0,71.09,3.24,-14.51,ACCURACY_BAD
349,179.0,22900.0,71.81,0.83,-15.96,ACCURACY_BAD
350,175.0,22500.0,67.61,2.81,-13.25,ACCURACY_BAD
351,176.0,22600.0,69.0,4.55,-14.03,ACCURACY_BAD
352,177.0,22700.0,69.72,4.55,-14.03,ACCURACY_BAD
353,178.0,22800.0,71.09,3.24,-14.51,ACCURACY_BAD
354,179.0,22900.0,71.81,0.83,-15.96,ACCURACY_BAD
355,180.0,23000.0,71.09,-1.43,-15.35,ACCURACY_BAD
356,181.0,23100.0,70.43,-6.11,-16.85,ACCURACY_BAD
357,182.0,23200.0,70.43,-7.37,-17.27,ACCURACY_BAD
358,183.0,23300.0,66.23,-6.59,-22.02,ACCURACY_BAD
359,184.0,23400.0,64.86,-7.91,-22.43,ACCURACY_BAD
360,180.0,23000.0,71.09,-1.43,-15.35,ACCURACY_BAD
361,181.0,23100.0,70.43,-6.11,-16.85,ACCURACY_BAD
362,182.0,23200.0,70.43,-7.37,-17.27,ACCURACY_BAD
363,183.0,23300.0,66.23,-6.59,-22.02,ACCURACY_BAD
364,184.0,23400.0,64.86,-7.91,-22.43,ACCURACY_BAD
365,185.0,23500.0,62.03,-14.21,-18.77,ACCURACY_BAD
366,186.0,23600.0,62.75,-17.27,-18.35,ACCURACY_BAD
367,187.0,23700.0,62.03,-16.68,-18.11,ACCURACY_BAD
368,188.0,23800.0,62.03,-17.1,-18.95,ACCURACY_BAD
369,189.0,23900.0,62.75,-13.79,-20.03,ACCURACY_BAD
370,185.0,23500.0,62.03,-14.21,-18.77,ACCURACY_BAD
371,186.0,23600.0,62.75,-17.27,-18.35,ACCURACY_BAD
372,187.0,23700.0,62.03,-16.68,-18.11,ACCURACY_BAD
373,188.0,23800.0,62.03,-17.1,-18.95,ACCURACY_BAD
374,189.0,23900.0,62.75,-13.79,-20.03,ACCURACY_BAD
375,190.0,24000.0,62.75,-9.89,-20.93,ACCURACY_BAD
376,191.0,24100.0,64.13,-5.51,-20.87,ACCURACY_BAD
377,192.0,24200.0,65.51,3.17,-18.77,ACCURACY_BAD
378,193.0,24300.0,71.09,13.43,-16.85,ACCURACY_BAD
379,194.0,24400.0,71.81,14.75,-16.44,ACCURACY_BAD
380,190.0,24000.0,62.75,-9.89,-20.93,ACCURACY_BAD
381,191.0,24100.0,64.13,-5.51,-20.87,ACCURACY_BAD
382,192.0,24200.0,65.51,3.17,-18.77,ACCURACY_BAD
383,193.0,24300.0,71.09,13.43,-16.85,ACCURACY_BAD
384,194.0,24400.0,71.81,14.75,-16.44,ACCURACY_BAD
385,195.0,24500.0,73.19,16.07,-16.02,ACCURACY_BAD
386,196.0,24600.0,73.91,14.57,-15.77,ACCURACY_BAD
387,197.0,24700.0,74.58,14.27,-17.27,ACCURACY_BAD
388,198.0,24800.0,72.47,8.81,-18.35,ACCURACY_BAD
389,199.0,24900.0,71.81,5.57,-19.37,ACCURACY_BAD
390,195.0,24500.0,73.19,16.07,-16.02,ACCURACY_BAD
391,196.0,24600.0,73.91,14.57,-15.77,ACCURACY_BAD
