,timestamp,mx,my,mz,mAc
384,43400.0,84.36,11.39,5.03,ACCURACY_BAD
385,43500.0,84.36,9.17,2.93,ACCURACY_BAD
386,43600.0,84.36,9.65,3.77,ACCURACY_BAD
387,43700.0,82.97,2.81,2.27,ACCURACY_BAD
388,43800.0,83.63,1.67,1.19,ACCURACY_BAD
389,43900.0,82.25,-0.41,-0.77,ACCURACY_BAD
390,44000.0,83.63,-1.25,-0.41,ACCURACY_BAD
391,44100.0,82.97,-2.81,-2.27,ACCURACY_BAD
392,44200.0,82.25,-4.92,-0.17,ACCURACY_BAD
393,44300.0,82.25,-4.92,-0.17,ACCURACY_BAD
394,44400.0,81.59,-4.55,-1.43,ACCURACY_BAD
395,44500.0,81.59,-2.81,-2.27,ACCURACY_BAD
396,44600.0,82.25,3.17,-3.17,ACCURACY_BAD
397,44700.0,82.25,3.17,-3.17,ACCURACY_BAD
398,44800.0,84.36,13.31,1.43,ACCURACY_BAD
399,44900.0,84.36,13.31,1.43,ACCURACY_BAD
400,45000.0,83.63,19.43,2.75,ACCURACY_BAD
401,45100.0,83.63,19.43,2.75,ACCURACY_BAD
402,45200.0,79.5,21.84,4.25,ACCURACY_BAD
403,45300.0,79.5,21.84,4.25,ACCURACY_BAD
404,45400.0,78.05,19.37,-1.43,ACCURACY_BAD
405,45500.0,78.05,19.37,-1.43,ACCURACY_BAD
406,45600.0,80.87,12.3,-6.59,ACCURACY_BAD
407,45700.0,82.25,10.26,-9.35,ACCURACY_BAD
408,45800.0,85.08,6.77,-11.93,ACCURACY_BAD
409,45900.0,86.45,3.24,-14.51,ACCURACY_BAD
410,46000.0,85.73,0.89,-13.85,ACCURACY_BAD
411,46100.0,85.73,0.89,-13.85,ACCURACY_BAD
412,46200.0,87.83,-4.13,-16.19,ACCURACY_BAD
413,46300.0,87.83,-4.13,-16.19,ACCURACY_BAD
414,46400.0,85.08,-5.63,-16.02,ACCURACY_BAD
415,46500.0,85.73,-0.83,-17.27,ACCURACY_BAD
416,46600.0,84.36,6.48,-15.59,ACCURACY_BAD
417,46700.0,84.36,14.88,-12.17,ACCURACY_BAD
418,46800.0,85.08,24.71,-8.93,ACCURACY_BAD
419,46900.0,83.63,24.71,-8.93,ACCURACY_BAD
420,47000.0,83.63,24.71,-8.93,ACCURACY_BAD
421,47100.0,80.15,29.51,-5.94,ACCURACY_BAD
422,47200.0,79.5,30.59,-9.11,ACCURACY_BAD
423,47300.0,78.77,29.87,-11.51,ACCURACY_BAD
424,47400.0,82.97,24.0,-15.59,ACCURACY_BAD
425,47500.0,85.73,11.15,-23.27,ACCURACY_BAD
426,47600.0,85.08,0.83,-27.29,ACCURACY_BAD
